show_id,content,type,country,date_added,release_year,rating,duration,listed_in
s21,"Monsters Inside: The 24 Faces of Billy Milligan Olivier Megaton nan In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.",TV Show,nan,"September 22, 2021",2021,,1 Season,"Crime TV Shows, Docuseries, International TV Shows"
s22,"Resurrection: Ertugrul nan Engin Altan Düzyatan, Serdar Gökhan, Hülya Darcan, Kaan Taşaner, Esra Bilgiç, Osman Soykut, Serdar Deniz, Cengiz Coşkun, Reshad Strik, Hande Subaşı When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.",TV Show,Turkey,"September 22, 2021",2018,,5 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas"
s23,"Avvai Shanmughi K.S. Ravikumar Kamal Hassan, Meena, Gemini Ganesan, Heera Rajgopal, Nassar, S.P. Balasubrahmanyam Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.",Movie,nan,"September 21, 2021",1996,,161 min,"Comedies, International Movies"
s24,"Go! Go! Cory Carson: Chrissy Takes the Wheel Alex Woo, Stanley Moore Maisie Benson, Paul Killam, Kerry Gudjohnsen, AC Lim From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!",Movie,nan,"September 21, 2021",2021,,61 min,Children & Family Movies
s25,"Jeans S. Shankar Prashanth, Aishwarya Rai Bachchan, Sri Lakshmi, Nassar When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.",Movie,India,"September 21, 2021",1998,,166 min,"Comedies, International Movies, Romantic Movies"
s26,"Love on the Spectrum nan Brooke Satchwell Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.",TV Show,Australia,"September 21, 2021",2021,,2 Seasons,"Docuseries, International TV Shows, Reality TV"
s27,"Minsara Kanavu Rajiv Menon Arvind Swamy, Kajol, Prabhu Deva, Nassar, S.P. Balasubrahmanyam, Girish Karnad A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.",Movie,nan,"September 21, 2021",1997,,147 min,"Comedies, International Movies, Music & Musicals"
s28,"Grown Ups Dennis Dugan Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider, Salma Hayek, Maria Bello, Maya Rudolph, Colin Quinn, Tim Meadows, Joyce Van Patten Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.",Movie,United States,"September 20, 2021",2010,,103 min,Comedies
s29,"Dark Skies Scott Stewart Keri Russell, Josh Hamilton, J.K. Simmons, Dakota Goyo, Kadan Rockett, L.J. Benet, Rich Hutchman, Myndy Crist, Annie Thurman, Jake Brennan A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.",Movie,United States,"September 19, 2021",2013,,97 min,"Horror Movies, Sci-Fi & Fantasy"
s30,"Paranoia Robert Luketic Liam Hemsworth, Gary Oldman, Amber Heard, Harrison Ford, Lucas Till, Embeth Davidtz, Julian McMahon, Josh Holloway, Richard Dreyfuss, Angela Sarafyan Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor.",Movie,"United States, India, France","September 19, 2021",2013,,106 min,Thrillers
s31,"Ankahi Kahaniya Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary Abhishek Banerjee, Rinku Rajguru, Delzad Hiwale, Kunal Kapoor, Zoya Hussain, Nikhil Dwivedi, Palomi Ghosh As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.",Movie,nan,"September 17, 2021",2021,,111 min,"Dramas, Independent Movies, International Movies"
s32,"Chicago Party Aunt nan Lauren Ash, Rory O'Malley, RuPaul Charles, Jill Talley, Ike Barinholtz, Jon Barinholtz, Matthew Craig, Bob Odenkirk, Mike Hagerty, Katie Rich, Chris Witaske Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.",TV Show,nan,"September 17, 2021",2021,,1 Season,TV Comedies
s33,"Sex Education nan Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey, Connor Swindells, Kedar Williams-Stirling, Alistair Petrie Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.",TV Show,United Kingdom,"September 17, 2021",2020,,3 Seasons,"British TV Shows, International TV Shows, TV Comedies"
s34,"Squid Game nan Lee Jung-jae, Park Hae-soo, Wi Ha-jun, Oh Young-soo, Jung Ho-yeon, Heo Sung-tae, Kim Joo-ryoung, Tripathi Anupam, You Seong-joo, Lee You-mi Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes.",TV Show,nan,"September 17, 2021",2021,,1 Season,"International TV Shows, TV Dramas, TV Thrillers"
s35,"Tayo and Little Wizards nan Dami Lee, Jason Lee, Bommie Catherine Han, Jennifer Waescher, Nancy Kim Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.",TV Show,nan,"September 17, 2021",2020,,1 Season,Kids' TV
s36,"The Father Who Moves Mountains Daniel Sandu Adrian Titieni, Elena Purea, Judith State, Valeriu Andriuță, Tudor Smoleanu, Virgil Aioanei, Radu Botar, Petronela Grigorescu, Bogdan Nechifor, Cristian Bota When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him.",Movie,nan,"September 17, 2021",2021,,110 min,"Dramas, International Movies, Thrillers"
s37,"The Stronghold Cédric Jimenez Gilles Lellouche, Karim Leklou, François Civil, Adèle Exarchopoulos, Kenza Fortas, Cyril Lecomte, Michaël Abiteboul, Idir Azougli, Vincent Darmuzey, Jean-Yves Berteloot Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.",Movie,nan,"September 17, 2021",2021,,105 min,"Action & Adventure, Dramas, International Movies"
s38,"Angry Birds nan Antti Pääkkönen, Heljä Heikkinen, Lynne Guaglione, Pasi Ruohonen, Rauno Ahonen Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.",TV Show,Finland,"September 16, 2021",2018,,1 Season,"Kids' TV, TV Comedies"
s39,"Birth of the Dragon George Nolfi Billy Magnussen, Ron Yuan, Qu Jingjing, Terry Chen, Vanness Wu, Jin Xing, Philip Ng, Xia Yu, Yu Xia A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events.",Movie,"China, Canada, United States","September 16, 2021",2017,,96 min,"Action & Adventure, Dramas"
s40,"Chhota Bheem nan Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil.",TV Show,India,"September 16, 2021",2021,,3 Seasons,Kids' TV
s41,"He-Man and the Masters of the Universe nan Yuri Lowenthal, Kimberly Brooks, Antony Del Rio, Trevor Devall, Ben Diskin, Grey Griffin, David Kaye, Tom Kenny, Judy Alice Lee, Roger Craig Smith, Fred Tatasciore Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor.",TV Show,United States,"September 16, 2021",2021,,1 Season,"Kids' TV, TV Sci-Fi & Fantasy"
s42,"Jaws Steven Spielberg Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb, Jeffrey Kramer, Susan Backlinie, Jonathan Filley, Ted Grossman When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast.",Movie,United States,"September 16, 2021",1975,,124 min,"Action & Adventure, Classic Movies, Dramas"
s43,"Jaws 2 Jeannot Szwarc Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo, Jeffrey Kramer, Collin Wilcox Paxton, Ann Dusenberry, Mark Gruner, Barry Coe, Susan French Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white.",Movie,United States,"September 16, 2021",1978,,116 min,"Dramas, Horror Movies, Thrillers"
s44,"Jaws 3 Joe Alves Dennis Quaid, Bess Armstrong, Simon MacCorkindale, Louis Gossett Jr., John Putch, Lea Thompson, P.H. Moriarty, Dan Blasko, Liz Morris, Lisa Maurer After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.",Movie,United States,"September 16, 2021",1983,,98 min,"Action & Adventure, Horror Movies, Thrillers"
s45,"Jaws: The Revenge Joseph Sargent Lorraine Gary, Lance Guest, Mario Van Peebles, Karen Young, Michael Caine, Judith Barsi, Mitchell Anderson, Lynn Whitfield After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there.",Movie,United States,"September 16, 2021",1987,,91 min,"Action & Adventure, Horror Movies, Thrillers"
s46,"My Heroes Were Cowboys Tyler Greco nan Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen.",Movie,nan,"September 16, 2021",2021,,23 min,Documentaries
s47,"Safe House Daniel Espinosa Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson, Sam Shepard, Rubén Blades, Nora Arnezeder, Robert Patrick, Liam Cunningham, Joel Kinnaman Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.",Movie,"South Africa, United States, Japan","September 16, 2021",2012,,115 min,Action & Adventure
s48,"The Smart Money Woman Bunmi Ajakaiye Osas Ighodaro, Ini Dima-Okojie, Kemi Lala Akindoju, Toni Tones, Ebenezer Eno, Eso Okolocha DIke, Patrick Diabuah, Karibi Fubara, Temisan Emmanuel, Timini Egbuson Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel.",TV Show,nan,"September 16, 2021",2020,,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
s49,"Training Day Antoine Fuqua Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Eva Mendes A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.",Movie,United States,"September 16, 2021",2001,,122 min,"Dramas, Thrillers"
s50,"Castle and Castle nan Richard Mofe-Damijo, Dakore Akande, Bimbo Manuel, Blossom Chukwujekwu, Deyemi Okanlawon, Etim Effiong, Denola Grey, Duke Akintola, Eku Edewor, Ade Laoye, Anee Icha, Kevin Ushi, Jude Chukwuka, Amanda Afolabi A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage.",TV Show,Nigeria,"September 15, 2021",2021,,2 Seasons,"International TV Shows, TV Dramas"
s51,"Dharmakshetra nan Kashmira Irani, Chandan Anand, Dinesh Mehta, Ankit Arora, Pushkar Goggiaa, Anjali Rana, Aarya DharmChand Kumar, Amit Behl, Maleeka Ghai After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains.",TV Show,India,"September 15, 2021",2014,,1 Season,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy"
s52,"InuYasha the Movie 2: The Castle Beyond the Looking Glass Toshiya Shinohara Kappei Yamaguchi, Satsuki Yukino, Mieko Harada, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Kenichi Ogata, Toshiyuki Morikawa, Izumi Ogami With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy.",Movie,Japan,"September 15, 2021",2002,,99 min,"Action & Adventure, Anime Features, International Movies"
s53,"InuYasha the Movie 3: Swords of an Honorable Ruler Toshiya Shinohara Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Ken Narita, Akio Otsuka, Kikuko Inoue The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.",Movie,Japan,"September 15, 2021",2003,,99 min,"Action & Adventure, Anime Features, International Movies"
s54,"InuYasha the Movie 4: Fire on the Mystic Island Toshiya Shinohara Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Ken Narita, Cho, Mamiko Noto, Nobutoshi Canna Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo.",Movie,Japan,"September 15, 2021",2004,,88 min,"Action & Adventure, Anime Features, International Movies"
s55,"InuYasha the Movie: Affections Touching Across Time Toshiya Shinohara Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Kenichi Ogata, Noriko Hidaka, Hisako Kyoda, Ken Narita, Tomokazu Seki A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy.",Movie,Japan,"September 15, 2021",2001,,100 min,"Action & Adventure, Anime Features, International Movies"
s56,"Nailed It nan Nicole Byer, Jacques Torres Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess.",TV Show,United States,"September 15, 2021",2021,,6 Seasons,Reality TV
s57,"Naruto Shippuden the Movie: Blood Prison Masahiko Murata Junko Takeuchi, Chie Nakamura, Rikiya Koyama, Kazuhiko Inoue, Masaki Terasoma, Mie Sonozaki, Yuichi Nakamura, Kengo Kawanishi, Kosei Hirota, Masako Katsuki Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.",Movie,Japan,"September 15, 2021",2011,,102 min,"Action & Adventure, Anime Features, International Movies"
s58,"Naruto Shippûden the Movie: Bonds Hajime Kamegaki Junko Takeuchi, Chie Nakamura, Noriaki Sugiyama, Unsho Ishizuka, Motoko Kumai, Kazuhiko Inoue, Rikiya Koyama, Showtaro Morikubo, Nana Mizuki, Satoshi Hino, Shinji Kawada When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet.",Movie,Japan,"September 15, 2021",2008,,93 min,"Action & Adventure, Anime Features, International Movies"
s264,Mother Goose Club nan nan Classic nursery rhymes and children's songs get a fresh twist in this high-energy program that helps kids learn as they dance and sing along.,TV Show,United States,"August 16, 2021",2016,,2 Seasons,Kids' TV
s59,"Naruto Shippûden the Movie: The Will of Fire Masahiko Murata Junko Takeuchi, Chie Nakamura, Kazuhiko Inoue, Satoshi Hino, Showtaro Morikubo, Kentaro Ito, Ryoka Yuzuki, Kohsuke Toriumi, Nana Mizuki, Shinji Kawada, Yoichi Masukawa, Koichi Tochika, Yukari Tamura When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land.",Movie,Japan,"September 15, 2021",2009,,96 min,"Action & Adventure, Anime Features, International Movies"
s60,"Naruto Shippuden: The Movie Hajime Kamegaki Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Koichi Tochika, Ayumi Fujimura, Keisuke Oda, Daisuke Kishio, Fumiko Orikasa, Hidetoshi Nakamura, Tetsuya Kakihara, Kisho Taniyama, Miyuki Sawashiro, Katsuyuki Konishi, Masako Katsuki, Keiko Nemoto, Masashi Ebara, Kazuhiko Inoue, Showtaro Morikubo, Romi Park, Daisuke Ono, Seizo Kato The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die.",Movie,Japan,"September 15, 2021",2007,,95 min,"Action & Adventure, Anime Features, International Movies"
s61,"Naruto Shippuden: The Movie: The Lost Tower Masahiko Murata Junko Takeuchi, Chie Nakamura, Satoshi Hino, Rikiya Koyama, Nobuaki Fukuda, Kenji Hamada, Keiko Nemoto, Saori Hayami, Yumi Toma, Yuko Kobayashi, Fujiko Takimoto, Mutsumi Tamura, Mayuki Makiguchi, Toshiyuki Morikawa When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.",Movie,Japan,"September 15, 2021",2010,,85 min,"Action & Adventure, Anime Features, International Movies"
s62,"Naruto the Movie 2: Legend of the Stone of Gelel Hirotsugu Kawasaki Junko Takeuchi, Gamon Kaai, Chie Nakamura, Showtaro Morikubo, Akira Ishida, Yasuyuki Kase, Urara Takano, Sachiko Kojima, Houko Kuwashima, Takako Honda While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.",Movie,Japan,"September 15, 2021",2005,,97 min,"Action & Adventure, Anime Features, International Movies"
s63,"Naruto the Movie 3: Guardians of the Crescent Moon Kingdom Toshiyuki Tsuru Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Kazuhiko Inoue, Akio Otsuka, Kyousuke Ikeda, Marika Hayashi, Umeji Sasaki, Masashi Sugawara, Hisao Egawa Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom.",Movie,Japan,"September 15, 2021",2006,,95 min,"Action & Adventure, Anime Features, International Movies"
s64,"Naruto the Movie: Ninja Clash in the Land of Snow Tensai Okamura Junko Takeuchi, Noriaki Sugiyama, Chie Nakamura, Kazuhiko Inoue, Yuhko Kaida, Tsutomu Isobe, Hirotaka Suzuoki, Jun Karasawa, Harii Kaneko, Ikuo Nishikawa Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess.",Movie,Japan,"September 15, 2021",2004,,83 min,"Action & Adventure, Anime Features, International Movies"
s65,"Nightbooks David Yarovesky Winslow Fegley, Lidya Jewett, Krysten Ritter Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.",Movie,nan,"September 15, 2021",2021,,103 min,Children & Family Movies
s66,"Numberblocks nan Beth Chalmers, David Holt, Marcel McCalla, Teresa Gallagher In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together.",TV Show,United Kingdom,"September 15, 2021",2021,,6 Seasons,Kids' TV
s67,"Raja Rasoi Aur Anya Kahaniyan nan nan Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat.",TV Show,India,"September 15, 2021",2014,,1 Season,"Docuseries, International TV Shows"
s68,"Saved by the Bell nan Mark-Paul Gosselaar, Tiffani Thiessen, Mario Lopez, Lark Voorhies, Elizabeth Berkley, Dustin Diamond, Dennis Haskins From middle school to college, best friends Zack, Kelly, Slater, Jessie, Screech and Lisa take on the highs and lows of life together in this hit series.",TV Show,United States,"September 15, 2021",1994,,9 Seasons,"Kids' TV, TV Comedies"
s69,"Schumacher Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech Michael Schumacher Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.",Movie,nan,"September 15, 2021",2021,,113 min,"Documentaries, International Movies, Sports Movies"
s70,Stories by Rabindranath Tagore nan nan The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.,TV Show,India,"September 15, 2021",2015,,1 Season,"International TV Shows, TV Dramas"
s71,"Too Hot To Handle: Latino nan Itatí Cantoral On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000.",TV Show,nan,"September 15, 2021",2021,,1 Season,"International TV Shows, Reality TV, Romantic TV Shows"
s72,"A StoryBots Space Adventure David A. Vargas Evan Spiridellis, Erin Fitzgerald, Jeff Gill, Fred Tatasciore, Evan Michael Lee, Jared Isaacman, Sian Proctor, Chris Sembroski, Hayley Arceneaux Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.",Movie,nan,"September 14, 2021",2021,,13 min,Children & Family Movies
s73,"Jack Whitehall: Travels with My Father nan Jack Whitehall, Michael Whitehall Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond.",TV Show,United Kingdom,"September 14, 2021",2021,,5 Seasons,"British TV Shows, Docuseries, International TV Shows"
s74,"King of Boys Kemi Adetiba Sola Sobowale, Adesua Etomi, Remilekun ""Reminisce"" Safaru, Tobechukwu ""iLLbliss"" Ejiofor, Toni Tones, Paul Sambo, Jide Kosoko, Sharon Ooja When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.",Movie,Nigeria,"September 14, 2021",2018,,182 min,"Dramas, International Movies"
s75,"The World's Most Amazing Vacation Rentals nan nan With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series.",TV Show,nan,"September 14, 2021",2021,,2 Seasons,Reality TV
s76,"You vs. Wild: Out Cold Ben Simms Bear Grylls, Jason Derek Prempeh After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure.",Movie,nan,"September 14, 2021",2021,,106 min,Children & Family Movies
s96,"The Circle nan Michelle Buteau Status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000.",TV Show,"United States, United Kingdom","September 8, 2021",2021,,3 Seasons,Reality TV
